Date,In Time,Out Time,Online Time,Offline Time,Break Time
12/11/2020,15:29  PM,,00:00 Hour,00:00 Hour,00:00 Hour
13/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
14/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
15/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
16/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
17/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
18/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
19/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
20/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
21/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
22/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
23/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
24/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
25/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
26/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
27/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
28/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
29/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
30/11/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
01/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
02/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
03/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
04/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
05/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
06/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
07/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
08/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
09/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
10/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
11/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
12/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
13/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
14/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
15/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
16/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
17/12/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
